CA Skateparks!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Name,City,County,Address,Free,Lights,Helmet/Pads,Notes,Exist,Visited,Column1,,,,,,,
Caruther's Park / Bellflower Bowl,Bellflower,Los Angeles County,Flora Vista and Ripon,Y,N,Y,,,N,,,,,,,,
Benicia X-Park Skatepark,Benicia,Solano County,Community Park Dr,Y,N,N,,,N,,,,,,,,
Berkeley Skatepark,Berkeley,Alameda County,5th and Harrison,Y,Y,N,,,N,,,,,,,,
Sugarloaf Skatepark,Big Bear,San Bernardino County,44828 Baldwin Lane,Y,,,,,N,,,,,,,,
Youth Center Skatepark,Big Bear,San Bernardino County,40946 Big Bear Blvd.,N,,Y,,,N,,,,,,,,
Biggs Skatepark,Biggs,Butte County,9th Street and C Street,Y,N,Y,,,N,,,,,,,,
Bishop City Skatepark,Bishop,Inyo County,N. Main St. and Park Ave.,Y,N,,,,N,,,,,,,,
Mesa SkatePark,Bolinas,Marin County,,Y,N,N,,,N,,,,,,,,
Borrego Springs Skatepark,Borrego Springs,San Diego County,630 Cahuilla,N,Y,Y,,,N,,,,,,,,
Brawley Skatepark,Brawley,Imperial County,3rd St. and Magnolia,Y,N,N,,,N,,,,,,,,
Brentwood Skatepark,Brentwood,Contra Costa County,198 Griffith Lane,Y,N,Y,,,N,,,,,,,,
Calexico Nosotros SkatePark,Calexico,Imperial County,Nosotros Park,Y,N,,,,N,,,,,,,,
Pleasant Valley Skatepark,Camarillo,Ventura County,1030 Temple Ave,Y,N,Y,,,N,,,,,,,,
Cambria Skatepark,Cambria,San Luis Obispo County,1000 Main St,Y,N,N,,,N,,,,,,,,
Cameron Park Skatepark,Cameron Park,El Dorado County,Cambridge and Merrychase,Y,N,Y,,,N,,,,,,,,
Camp Pendleton Skatepark,Camp Pendleton,San Diego County,Green Street and C Street,Y,,,,,N,,,,,,,,
Campbell Skate Park,Campbell,Santa Clara County,E. Campbell Ave. and Winchester Blvd.,Y,,Y,,,N,,,,,,,,
McGregor Skatepark,Capitola,Santa Cruz County,,Y,N,,Duplicate,,N,,,,,,,,
